city,date,temperature_avg,temperature_min,temperature_max,precipitation,snow,wind_speed,humidity
Antananarivo,2022-10-07,17.7,11.1,25.9,0.0,0.0,14.7,0.0
Antananarivo,2020-12-02,22.4,17.0,30.0,0.3,0.0,8.2,0.0
Antananarivo,2022-01-17,20.0,16.3,26.2,19.8,0.0,8.8,0.0
Antananarivo,2025-05-23,17.9,15.0,27.5,0.0,0.0,14.0,0.0
Antananarivo,2024-05-16,17.6,15.0,23.0,0.0,0.0,17.1,0.0
Antananarivo,2025-01-31,22.8,19.0,30.3,10.3,0.0,13.8,0.0
Antananarivo,2024-08-17,15.4,13.0,22.6,0.1,0.0,17.7,0.0
Antananarivo,2021-08-01,13.1,7.4,18.3,0.3,0.0,14.3,0.0
Antananarivo,2025-03-22,22.1,18.0,30.0,15.2,0.0,7.7,0.0
Antananarivo,2023-09-15,17.0,12.7,23.1,0.0,0.0,15.4,0.0
Antananarivo,2020-10-14,22.2,15.7,30.0,0.0,0.0,12.4,0.0
Antananarivo,2020-01-16,22.2,19.8,29.2,0.0,0.0,12.1,0.0
Antananarivo,2020-05-04,20.6,16.0,27.9,0.0,0.0,7.7,0.0
Antananarivo,2022-08-05,14.3,8.2,21.1,0.0,0.0,10.0,0.0
Antananarivo,2021-11-17,22.6,15.6,30.4,0.0,0.0,9.0,0.0
Antananarivo,2020-09-20,15.5,7.0,24.0,0.0,0.0,15.0,0.0
Antananarivo,2024-11-26,22.7,19.0,29.7,0.0,0.0,15.3,0.0
Antananarivo,2021-10-25,21.0,16.9,26.4,1.3,0.0,11.5,0.0
Antananarivo,2023-11-12,20.4,15.5,26.7,0.1,0.0,10.3,0.0
Antananarivo,2022-10-13,17.4,10.9,24.7,0.0,0.0,14.2,0.0
Antananarivo,2021-06-06,15.2,12.0,19.8,1.0,0.0,12.2,0.0
Antananarivo,2023-02-18,20.4,16.6,27.0,6.4,0.0,6.0,0.0
Antananarivo,2025-01-15,22.3,18.0,29.0,13.0,0.0,9.1,0.0
Antananarivo,2024-01-12,21.2,14.8,28.2,0.0,0.0,10.5,0.0
Antananarivo,2022-12-02,20.5,15.7,27.0,3.7,0.0,4.6,0.0
Antananarivo,2021-04-29,18.8,15.1,23.8,0.5,0.0,14.0,0.0
Antananarivo,2020-11-23,22.3,19.0,29.0,0.0,0.0,12.4,0.0
Antananarivo,2020-06-29,15.6,8.4,26.0,0.0,0.0,4.8,0.0
Antananarivo,2020-10-30,17.1,14.0,24.5,0.3,0.0,19.0,0.0
Antananarivo,2020-05-12,17.7,15.0,24.2,0.0,0.0,7.8,0.0
Antananarivo,2022-05-17,16.4,13.6,20.5,0.2,0.0,17.7,0.0
Antananarivo,2020-12-05,23.6,20.0,30.8,0.0,0.0,13.6,0.0
Antananarivo,2022-06-18,16.4,13.9,21.2,0.0,0.0,6.4,0.0
Antananarivo,2021-03-22,19.9,16.1,25.1,7.4,0.0,8.3,0.0
Antananarivo,2023-01-06,20.2,15.3,25.5,0.2,0.0,8.9,0.0
Antananarivo,2023-04-12,19.5,15.2,25.7,0.0,0.0,6.3,0.0
Antananarivo,2021-03-16,19.3,15.1,24.4,5.1,0.0,8.6,0.0
Antananarivo,2023-08-16,17.0,11.8,23.8,0.2,0.0,8.2,0.0
Antananarivo,2025-06-02,15.6,9.0,24.0,0.0,0.0,9.9,0.0
Antananarivo,2022-11-02,20.0,15.8,26.2,0.0,0.0,6.9,0.0
Antananarivo,2024-11-14,23.9,16.0,33.0,0.0,0.0,12.6,0.0
Antananarivo,2021-01-14,22.1,18.3,28.2,8.6,0.0,4.6,0.0
Antananarivo,2022-01-07,20.2,16.9,26.2,13.8,0.0,6.4,0.0
Antananarivo,2024-01-11,21.7,17.5,27.1,1.7,0.0,11.6,0.0
Antananarivo,2020-08-02,14.3,10.0,20.0,0.0,0.0,18.2,0.0
Antananarivo,2021-03-26,20.5,17.6,25.4,11.4,0.0,6.5,0.0
Antananarivo,2024-07-12,15.4,11.8,21.0,0.0,0.0,18.7,0.0
Antananarivo,2022-07-19,13.6,10.7,18.0,0.2,0.0,21.4,0.0
Antananarivo,2025-03-11,21.1,15.0,27.2,2.0,0.0,11.7,0.0
Antananarivo,2024-01-03,22.1,17.8,27.0,0.0,0.0,17.3,0.0
Antananarivo,2021-07-02,14.6,9.4,21.3,0.0,0.0,9.6,0.0
Antananarivo,2024-10-16,22.4,15.0,31.0,0.0,0.0,14.4,0.0
Antananarivo,2020-05-10,17.3,15.0,24.7,0.0,0.0,12.6,0.0
Antananarivo,2025-02-13,22.1,18.9,30.2,55.1,0.0,10.0,0.0
Antananarivo,2025-06-22,17.1,13.0,23.0,0.0,0.0,13.3,0.0
Antananarivo,2020-01-03,19.6,17.0,26.0,18.0,0.0,8.4,0.0
Antananarivo,2021-03-05,19.7,17.4,23.7,18.1,0.0,11.0,0.0
Antananarivo,2023-10-30,20.8,15.6,27.1,0.6,0.0,8.0,0.0
Antananarivo,2020-12-28,20.9,18.0,26.0,0.0,0.0,12.8,0.0
Antananarivo,2024-08-13,16.2,8.4,25.2,0.0,0.0,12.0,0.0
Antananarivo,2023-05-18,18.3,15.1,24.2,0.0,0.0,8.1,0.0
Antananarivo,2021-05-23,15.1,9.9,21.1,0.0,0.0,9.6,0.0
Antananarivo,2023-01-10,19.9,16.7,24.9,17.1,0.0,6.2,0.0
Antananarivo,2022-10-17,18.5,13.5,26.0,0.0,0.0,11.0,0.0
Antananarivo,2020-08-01,14.9,13.0,23.8,0.0,0.0,15.6,0.0
Antananarivo,2021-10-22,21.7,13.8,30.3,0.0,0.0,10.3,0.0
Antananarivo,2021-12-26,21.4,16.9,28.0,25.2,0.0,6.3,0.0
Antananarivo,2023-08-29,15.4,12.0,20.6,1.4,0.0,22.0,0.0
Antananarivo,2024-06-19,16.4,12.0,24.9,0.0,0.0,13.5,0.0
Antananarivo,2022-11-29,19.6,13.9,27.5,17.4,0.0,3.1,0.0
Antananarivo,2020-03-03,22.1,19.0,28.0,0.0,0.0,9.2,0.0
Antananarivo,2022-04-16,20.2,17.9,24.3,0.6,0.0,14.1,0.0
Antananarivo,2023-11-21,19.4,12.7,26.4,0.0,0.0,12.0,0.0
Antananarivo,2020-07-31,17.7,13.0,25.0,0.0,0.0,14.6,0.0
Antananarivo,2024-07-06,15.6,9.0,24.0,0.0,0.0,6.8,0.0
Antananarivo,2020-01-27,20.6,16.0,26.7,0.0,0.0,8.1,0.0
Antananarivo,2025-05-31,15.3,9.0,23.0,0.0,0.0,10.4,0.0
Antananarivo,2020-07-07,16.4,12.0,23.8,0.0,0.0,13.3,0.0
Antananarivo,2024-04-13,22.7,20.0,29.2,16.9,0.0,11.7,0.0
Antananarivo,2022-09-19,16.1,12.7,21.7,0.0,0.0,13.0,0.0
Antananarivo,2022-01-15,19.6,16.9,25.6,28.5,0.0,6.1,0.0
Antananarivo,2023-03-04,20.1,16.9,25.9,6.9,0.0,11.8,0.0
Antananarivo,2025-02-12,22.9,19.0,30.2,3.9,0.0,9.0,0.0
Antananarivo,2022-05-05,17.3,12.7,22.3,0.0,0.0,12.5,0.0
Antananarivo,2023-01-11,19.9,16.8,25.8,26.3,0.0,7.7,0.0
Antananarivo,2020-06-22,18.0,14.0,26.0,0.0,0.0,7.8,0.0
Antananarivo,2022-06-28,12.1,9.2,15.9,0.0,0.0,27.8,0.0
Antananarivo,2024-04-08,21.9,16.0,29.0,0.0,0.0,10.1,0.0
Antananarivo,2024-09-04,16.3,13.5,21.5,2.0,0.0,13.6,0.0
Antananarivo,2022-02-08,20.9,16.4,26.8,0.7,0.0,9.1,0.0
Antananarivo,2022-12-12,19.6,16.7,25.8,7.5,0.0,11.5,0.0
Antananarivo,2023-01-28,20.9,17.8,25.9,4.3,0.0,17.0,0.0
Antananarivo,2021-12-01,20.9,16.9,26.8,0.7,0.0,8.5,0.0
Antananarivo,2021-07-01,13.7,8.7,20.1,0.0,0.0,9.1,0.0
Antananarivo,2020-02-15,21.7,18.0,29.1,0.0,0.0,9.6,0.0
Antananarivo,2021-10-14,20.2,15.5,27.4,0.0,0.0,10.5,0.0
Antananarivo,2020-01-28,22.8,18.7,29.0,0.0,0.0,6.5,0.0
Antananarivo,2024-02-09,20.7,17.0,27.3,21.5,0.0,7.5,0.0
Antananarivo,2023-04-13,19.0,16.5,24.0,7.2,0.0,6.1,0.0
Antananarivo,2022-10-15,16.6,10.4,23.5,0.0,0.0,12.4,0.0
Antananarivo,2021-09-14,16.2,11.8,22.8,0.0,0.0,12.9,0.0
Antananarivo,2020-11-07,22.3,17.0,31.0,0.0,0.0,13.9,0.0
Antananarivo,2020-01-18,22.3,19.0,28.4,0.0,0.0,4.8,0.0
Antananarivo,2023-08-22,17.4,12.8,22.9,0.0,0.0,10.9,0.0
Antananarivo,2021-08-22,17.2,12.1,24.1,0.0,0.0,11.9,0.0
Antananarivo,2020-09-14,16.7,13.0,24.7,0.0,0.0,18.8,0.0
Antananarivo,2024-02-06,20.6,17.7,27.1,22.9,0.0,9.7,0.0
Antananarivo,2025-03-13,22.3,18.0,28.1,3.0,0.0,8.4,0.0
Antananarivo,2025-06-04,16.5,10.0,26.0,0.0,0.0,5.1,0.0
Antananarivo,2021-09-08,15.5,9.3,23.0,0.0,0.0,9.6,0.0
Antananarivo,2023-09-17,17.3,11.0,26.1,0.0,0.0,10.5,0.0
Antananarivo,2024-04-07,22.3,16.0,30.5,0.0,0.0,8.3,0.0
Antananarivo,2022-09-18,16.2,11.2,22.3,0.0,0.0,11.4,0.0
Antananarivo,2024-03-04,20.7,17.5,25.0,11.9,0.0,20.0,0.0
Antananarivo,2020-04-22,19.0,15.9,23.0,0.0,0.0,9.6,0.0
Antananarivo,2024-12-16,21.6,14.8,29.1,0.0,0.0,16.7,0.0
Antananarivo,2023-02-27,19.7,14.0,25.8,0.2,0.0,9.9,0.0
Antananarivo,2021-08-26,15.8,9.6,23.1,0.0,0.0,12.2,0.0
Antananarivo,2022-12-21,19.9,16.7,26.4,18.5,0.0,6.5,0.0
Antananarivo,2020-08-19,16.0,8.8,23.2,0.0,0.0,11.3,0.0
Antananarivo,2020-09-07,16.0,11.0,24.0,0.0,0.0,12.8,0.0
Antananarivo,2024-05-06,18.2,12.0,26.1,0.0,0.0,11.8,0.0
Antananarivo,2024-07-07,14.7,6.0,26.0,0.0,0.0,6.1,0.0
Antananarivo,2023-07-03,15.0,12.5,19.0,0.2,0.0,19.3,0.0
Antananarivo,2021-01-23,21.8,17.8,28.0,2.8,0.0,8.9,0.0
Antananarivo,2022-05-13,16.9,13.4,22.7,0.0,0.0,8.9,0.0
Antananarivo,2024-10-12,18.8,13.0,26.0,0.0,0.0,18.5,0.0
Antananarivo,2021-08-08,15.2,9.4,22.0,0.0,0.0,6.2,0.0
Antananarivo,2024-05-04,19.6,16.0,27.3,0.0,0.0,16.6,0.0
Antananarivo,2023-12-17,23.0,17.9,29.1,1.0,0.0,9.4,0.0
Antananarivo,2024-08-04,15.8,8.0,26.0,0.0,0.0,8.0,0.0
Antananarivo,2025-05-18,18.4,12.0,25.0,0.0,0.0,8.6,0.0
Antananarivo,2024-09-29,20.9,11.0,31.0,0.0,0.0,11.4,0.0
Antananarivo,2022-05-02,19.2,16.4,23.6,0.2,0.0,9.3,0.0
Antananarivo,2020-06-06,16.3,12.9,22.0,0.0,0.0,12.1,0.0
Antananarivo,2023-07-02,14.8,10.7,19.6,0.0,0.0,17.0,0.0
Antananarivo,2021-05-04,17.6,12.0,23.8,0.8,0.0,7.7,0.0
Antananarivo,2024-10-27,23.5,17.0,31.0,0.4,0.0,9.3,0.0
Antananarivo,2025-05-03,21.2,16.0,28.7,0.0,0.0,7.5,0.0
Antananarivo,2023-02-09,20.0,17.3,24.8,0.7,0.0,15.4,0.0
Antananarivo,2021-12-20,21.6,18.1,28.9,14.1,0.0,6.5,0.0
Antananarivo,2024-12-04,21.7,19.0,27.4,3.0,0.0,12.5,0.0
Antananarivo,2020-02-19,21.9,18.0,28.0,0.0,0.0,8.3,0.0
Antananarivo,2022-04-25,17.5,14.5,22.1,0.6,0.0,11.9,0.0
Antananarivo,2022-01-01,20.2,17.1,25.1,13.0,0.0,4.4,0.0
Antananarivo,2025-02-17,22.1,18.3,28.4,20.8,0.0,13.1,0.0
Antananarivo,2022-03-09,20.9,18.8,25.8,11.9,0.0,14.9,0.0
Antananarivo,2022-12-22,19.9,16.3,25.5,6.8,0.0,11.3,0.0
Antananarivo,2020-03-02,21.4,18.0,29.5,0.0,0.0,9.6,0.0
Antananarivo,2021-05-03,18.3,14.6,23.7,2.4,0.0,6.1,0.0
Antananarivo,2020-09-26,18.5,12.5,27.0,0.0,0.0,9.5,0.0
Antananarivo,2024-10-31,22.1,16.0,32.0,0.0,0.0,14.0,0.0
Antananarivo,2023-02-17,19.9,16.6,25.8,11.8,0.0,6.5,0.0
Antananarivo,2022-11-14,20.7,15.9,27.5,0.3,0.0,11.7,0.0
Antananarivo,2020-11-20,23.1,14.0,30.0,0.0,0.0,9.2,0.0
Antananarivo,2025-04-29,18.9,15.8,24.1,1.7,0.0,16.8,0.0
Antananarivo,2020-01-01,20.9,17.0,30.0,0.0,0.0,5.5,0.0
Antananarivo,2023-10-24,20.0,15.3,27.5,4.9,0.0,6.7,0.0
Antananarivo,2023-10-20,21.1,14.8,28.4,2.1,0.0,9.4,0.0
Antananarivo,2020-10-13,22.8,19.0,29.0,0.0,0.0,12.7,0.0
Antananarivo,2023-01-03,20.3,15.2,25.9,0.0,0.0,7.2,0.0
Antananarivo,2022-08-25,13.7,10.0,19.7,0.0,0.0,15.3,0.0
Antananarivo,2020-10-09,21.4,15.6,28.0,0.0,0.0,10.4,0.0
Antananarivo,2025-02-09,22.4,17.4,30.2,0.0,0.0,8.0,0.0
Antananarivo,2020-01-14,22.1,17.0,28.0,0.0,0.0,11.8,0.0
Antananarivo,2023-10-26,21.0,14.4,28.8,0.0,0.0,8.6,0.0
Antananarivo,2020-09-02,16.8,9.0,26.0,0.0,0.0,8.9,0.0
Antananarivo,2020-08-10,13.1,6.0,23.0,0.0,0.0,7.2,0.0
Antananarivo,2023-12-04,20.1,15.8,26.2,1.2,0.0,9.2,0.0
Antananarivo,2024-09-08,17.4,12.0,26.7,0.0,0.0,13.6,0.0
Antananarivo,2024-04-06,23.3,18.0,31.0,0.0,0.0,8.9,0.0
Antananarivo,2021-04-25,18.5,15.4,22.8,0.8,0.0,12.5,0.0
Antananarivo,2023-05-17,16.9,11.2,24.5,0.0,0.0,8.6,0.0
Antananarivo,2023-11-25,19.2,12.5,25.9,2.8,0.0,15.5,0.0
Antananarivo,2024-06-07,17.0,12.0,24.0,0.0,0.0,10.2,0.0
Antananarivo,2024-03-28,20.2,17.0,26.0,0.3,0.0,13.0,0.0
Antananarivo,2020-08-31,16.2,13.0,22.0,0.0,0.0,12.8,0.0
Antananarivo,2020-03-23,20.0,15.0,26.0,0.0,0.0,12.0,0.0
