city,date,temperature_avg,temperature_min,temperature_max,precipitation,snow,wind_speed,humidity
Cape Town,2020-12-09,20.4,18.0,24.8,0.0,0.0,17.1,0.0
Cape Town,2020-04-14,16.7,11.0,22.1,0.0,0.0,14.5,0.0
Cape Town,2024-08-27,12.6,10.0,15.8,0.0,0.0,44.3,0.0
Cape Town,2022-12-26,20.2,11.8,26.8,0.0,0.0,11.3,0.0
Cape Town,2024-09-03,15.7,13.6,19.4,0.0,0.0,20.8,0.0
Cape Town,2020-07-03,11.6,6.2,19.0,0.0,0.0,5.6,0.0
Cape Town,2022-01-30,22.0,17.3,29.0,0.0,0.0,28.6,0.0
Cape Town,2022-08-02,12.6,8.3,18.6,0.0,0.0,10.8,0.0
Cape Town,2022-06-08,17.3,14.2,24.8,0.0,0.0,11.5,0.0
Cape Town,2022-10-03,15.1,12.4,18.8,0.7,0.0,13.4,0.0
Cape Town,2022-10-24,19.2,15.6,25.7,0.0,0.0,23.2,0.0
Cape Town,2022-08-14,11.8,9.1,14.1,1.5,0.0,14.4,0.0
Cape Town,2023-03-09,16.3,13.8,17.9,5.7,0.0,20.8,0.0
Cape Town,2025-03-12,21.4,16.7,26.1,0.0,0.0,26.6,0.0
Cape Town,2024-10-12,15.9,11.4,21.4,0.0,0.0,13.6,0.0
Cape Town,2023-05-12,13.1,10.8,15.8,0.1,0.0,32.0,0.0
Cape Town,2023-05-17,13.3,10.3,16.6,3.0,0.0,12.9,0.0
Cape Town,2021-07-19,12.2,7.8,16.4,1.9,0.0,10.0,0.0
Cape Town,2021-12-02,15.9,13.5,18.8,0.9,0.0,21.6,0.0
Cape Town,2024-09-13,11.9,5.6,17.0,0.0,0.0,10.7,0.0
Cape Town,2025-05-28,14.1,10.3,17.9,4.9,0.0,29.5,0.0
Cape Town,2022-07-17,15.0,13.3,18.0,0.0,0.0,16.4,0.0
Cape Town,2021-08-09,11.8,8.1,14.6,1.3,0.0,12.8,0.0
Cape Town,2020-04-27,17.9,15.0,23.1,0.0,0.0,28.2,0.0
Cape Town,2024-11-26,15.8,13.6,18.2,5.4,0.0,22.7,0.0
Cape Town,2022-04-13,18.2,14.4,22.4,0.0,0.0,17.1,0.0
Cape Town,2021-02-22,18.7,12.9,25.4,0.0,0.0,16.2,0.0
Cape Town,2023-08-31,13.1,10.3,15.2,5.4,0.0,25.3,0.0
Cape Town,2021-10-23,15.0,11.8,17.9,11.8,0.0,19.0,0.0
Cape Town,2024-06-14,12.3,8.1,18.3,0.0,0.0,9.3,0.0
Cape Town,2022-02-25,21.3,18.8,25.1,0.0,0.0,31.5,0.0
Cape Town,2021-07-12,10.2,7.6,12.2,18.7,0.0,21.8,0.0
Cape Town,2020-12-30,20.4,15.5,25.6,0.0,0.0,16.2,0.0
Cape Town,2023-08-24,9.6,4.8,15.8,0.0,0.0,8.7,0.0
Cape Town,2022-08-13,10.8,7.5,14.1,7.4,0.0,16.3,0.0
Cape Town,2023-05-29,14.5,11.4,17.0,7.5,0.0,30.7,0.0
Cape Town,2023-03-01,20.3,16.7,25.6,0.0,0.0,31.8,0.0
Cape Town,2020-05-05,17.1,12.0,22.0,0.0,0.0,12.6,0.0
Cape Town,2021-10-11,19.7,13.6,28.6,0.0,0.0,10.3,0.0
Cape Town,2023-05-04,15.2,10.8,19.6,0.0,0.0,14.2,0.0
Cape Town,2025-05-20,12.6,9.8,14.2,20.5,0.0,27.1,0.0
Cape Town,2023-12-29,22.8,16.0,29.5,0.0,0.0,23.2,0.0
Cape Town,2023-06-06,9.8,5.9,15.6,0.0,0.0,9.4,0.0
Cape Town,2022-10-26,19.5,14.7,26.4,0.0,0.0,19.5,0.0
Cape Town,2023-07-11,9.6,5.3,16.6,0.0,0.0,8.1,0.0
Cape Town,2023-11-08,15.9,9.8,21.7,0.0,0.0,20.9,0.0
Cape Town,2021-09-03,12.6,11.0,15.2,4.7,0.0,21.0,0.0
Cape Town,2020-01-26,18.0,15.0,22.6,0.0,0.0,19.7,0.0
Cape Town,2021-06-20,17.6,11.9,25.1,0.0,0.0,13.4,0.0
Cape Town,2022-01-20,20.2,14.3,26.8,0.0,0.0,16.9,0.0
Cape Town,2024-05-02,16.3,9.2,25.1,0.0,0.0,11.4,0.0
Cape Town,2024-09-30,11.1,8.7,14.2,3.6,0.0,23.6,0.0
Cape Town,2020-11-17,19.2,16.0,24.1,0.0,0.0,23.2,0.0
Cape Town,2020-11-22,18.1,15.6,24.6,0.0,0.0,19.6,0.0
Cape Town,2020-06-07,14.0,7.0,21.5,0.0,0.0,6.6,0.0
Cape Town,2024-12-25,24.3,19.7,31.0,0.0,0.0,21.4,0.0
Cape Town,2023-04-11,14.2,8.5,19.6,0.0,0.0,15.2,0.0
Cape Town,2020-06-30,12.6,6.3,20.0,0.8,0.0,4.4,0.0
Cape Town,2022-06-04,13.9,9.9,19.5,0.0,0.0,9.5,0.0
Cape Town,2022-03-29,16.5,15.0,17.9,11.8,0.0,24.5,0.0
Cape Town,2024-11-09,20.2,15.6,25.5,0.0,0.0,32.8,0.0
Cape Town,2023-10-11,15.6,10.5,20.8,0.0,0.0,12.1,0.0
Cape Town,2023-04-06,21.1,16.4,29.0,0.0,0.0,13.1,0.0
Cape Town,2022-05-23,13.8,10.6,18.4,0.0,0.0,10.3,0.0
Cape Town,2024-07-03,12.2,10.5,15.1,32.0,0.0,27.2,0.0
Cape Town,2025-01-29,23.0,19.8,26.6,0.0,0.0,24.8,0.0
Cape Town,2024-06-27,16.0,8.5,26.3,0.0,0.0,10.5,0.0
Cape Town,2024-05-13,15.7,10.0,24.7,0.0,0.0,16.9,0.0
Cape Town,2021-06-04,12.2,6.4,18.0,0.0,0.0,11.1,0.0
Cape Town,2021-11-13,19.0,14.8,23.7,0.0,0.0,12.7,0.0
Cape Town,2020-11-02,20.9,13.5,28.6,0.0,0.0,17.1,0.0
Cape Town,2020-11-25,15.6,12.6,19.2,7.1,0.0,11.8,0.0
Cape Town,2021-07-18,13.3,6.2,21.0,0.0,0.0,9.7,0.0
Cape Town,2023-01-24,18.6,16.3,21.6,1.9,0.0,22.2,0.0
Cape Town,2020-12-21,23.8,20.0,28.9,0.0,0.0,33.5,0.0
Cape Town,2022-12-28,19.4,16.1,22.6,0.3,0.0,12.4,0.0
Cape Town,2021-12-05,17.6,16.2,20.6,7.7,0.0,20.5,0.0
Cape Town,2021-02-02,22.4,14.8,30.3,0.0,0.0,11.9,0.0
Cape Town,2024-03-28,18.9,14.7,23.6,0.0,0.0,30.9,0.0
Cape Town,2022-09-11,13.0,10.5,16.5,0.6,0.0,11.6,0.0
Cape Town,2021-04-21,18.6,13.6,25.3,0.0,0.0,5.5,0.0
Cape Town,2023-05-02,15.5,12.3,20.2,0.2,0.0,13.0,0.0
Cape Town,2025-03-30,19.4,14.6,24.5,0.0,0.0,25.8,0.0
Cape Town,2022-04-04,15.3,12.7,18.7,0.8,0.0,14.5,0.0
Cape Town,2020-10-27,17.3,13.8,26.5,0.0,0.0,17.1,0.0
Cape Town,2024-11-20,21.2,16.2,28.3,2.4,0.0,19.8,0.0
Cape Town,2020-04-05,16.9,14.5,21.9,0.0,0.0,16.8,0.0
Cape Town,2022-12-14,20.8,17.7,24.2,0.0,0.0,11.2,0.0
Cape Town,2024-11-15,19.4,14.3,27.5,0.0,0.0,25.6,0.0
Cape Town,2021-02-07,20.5,18.0,24.0,0.0,0.0,22.5,0.0
Cape Town,2021-12-15,16.8,13.2,20.1,0.3,0.0,16.7,0.0
Cape Town,2020-08-01,13.1,8.0,21.0,0.0,0.0,8.0,0.0
Cape Town,2023-11-09,18.4,13.1,25.3,0.0,0.0,24.2,0.0
Cape Town,2021-05-23,15.5,9.0,23.4,0.0,0.0,7.9,0.0
Cape Town,2024-06-25,13.2,10.1,17.2,0.0,0.0,21.2,0.0
Cape Town,2022-12-01,19.4,15.5,23.7,0.6,0.0,9.7,0.0
Cape Town,2024-10-14,15.9,13.8,19.1,0.0,0.0,34.0,0.0
Cape Town,2023-05-26,11.3,9.1,15.0,0.0,0.0,20.4,0.0
Cape Town,2021-01-04,22.9,18.0,30.2,0.0,0.0,21.4,0.0
Cape Town,2021-07-09,11.5,9.0,14.6,0.5,0.0,15.1,0.0
Cape Town,2022-03-30,16.2,13.9,19.9,1.2,0.0,18.6,0.0
Cape Town,2023-08-14,10.2,6.0,14.6,0.0,0.0,9.4,0.0
Cape Town,2021-06-06,16.5,9.7,24.1,0.0,0.0,15.8,0.0
Cape Town,2024-03-08,20.4,17.6,24.7,3.3,0.0,16.3,0.0
Cape Town,2024-02-26,20.2,15.1,28.1,0.0,0.0,30.9,0.0
Cape Town,2020-06-02,14.9,11.0,18.0,0.0,0.0,13.1,0.0
Cape Town,2025-05-05,16.4,10.5,23.9,0.0,0.0,11.2,0.0
Cape Town,2023-08-19,12.5,8.5,17.2,0.1,0.0,12.0,0.0
Cape Town,2022-06-03,13.2,8.6,19.3,0.0,0.0,6.8,0.0
Cape Town,2024-11-06,17.2,8.4,25.8,0.0,0.0,20.8,0.0
Cape Town,2025-02-19,24.9,18.5,33.2,0.0,0.0,17.6,0.0
Cape Town,2024-11-22,18.8,15.0,23.2,0.0,0.0,12.4,0.0
Cape Town,2024-03-06,18.2,12.1,25.3,0.0,0.0,11.6,0.0
Cape Town,2023-10-20,18.3,12.9,24.4,0.0,0.0,19.7,0.0
Cape Town,2025-01-17,22.2,18.0,28.2,0.0,0.0,24.4,0.0
Cape Town,2022-12-08,23.3,15.9,30.6,0.0,0.0,14.4,0.0
Cape Town,2023-06-25,13.6,12.4,15.9,0.0,0.0,35.8,0.0
Cape Town,2021-11-30,17.4,15.0,20.6,4.3,0.0,11.4,0.0
Cape Town,2020-05-28,14.3,13.0,16.0,0.0,0.0,24.9,0.0
Cape Town,2022-04-27,16.6,10.8,23.6,0.0,0.0,10.7,0.0
Cape Town,2025-02-18,21.7,19.4,24.8,0.0,0.0,36.8,0.0
Cape Town,2025-05-06,16.4,10.6,23.7,0.0,0.0,11.6,0.0
Cape Town,2024-01-14,21.5,16.0,27.0,0.0,0.0,17.2,0.0
Cape Town,2020-05-29,16.3,14.0,18.6,19.1,0.0,12.7,0.0
Cape Town,2024-09-24,13.8,10.6,18.6,0.0,0.0,18.7,0.0
Cape Town,2023-08-03,16.0,9.1,24.9,0.0,0.0,13.6,0.0
Cape Town,2024-11-28,19.2,14.4,25.1,0.0,0.0,22.7,0.0
Cape Town,2022-07-05,12.1,9.3,15.6,0.0,0.0,9.3,0.0
Cape Town,2023-07-26,10.8,7.7,15.5,0.6,0.0,13.2,0.0
Cape Town,2022-12-20,19.1,16.5,22.4,0.0,0.0,26.5,0.0
Cape Town,2020-02-19,22.4,18.5,29.0,0.0,0.0,18.9,0.0
Cape Town,2024-02-18,22.7,12.5,32.9,0.0,0.0,19.3,0.0
Cape Town,2024-06-20,11.1,5.5,18.6,0.0,0.0,9.0,0.0
